TOOL,STEP,MATERIAL,VALUE_1,VALUE_2
tool 1,step 1,material 1,0.715171243,986
tool 1,step 1,material 1,0.958547461,35
tool 1,step 1,material 1,0.542267277,589
tool 1,step 1,material 1,0.778020313,967
tool 1,step 1,material 1,0.820385525,500
tool 1,step 1,material 1,0.116683078,914
tool 1,step 1,material 2,0.830316155,783
tool 1,step 1,material 2,0.296609434,261
tool 1,step 1,material 2,0.381470171,139
tool 1,step 1,material 2,0.285614758,663
tool 2,step 1,material 2,0.397976087,880
tool 2,step 1,material 2,0.134806317,558
tool 2,step 1,material 3,0.602803637,570
tool 2,step 1,material 3,0.080131348,891
tool 2,step 1,material 3,0.228636809,657
tool 2,step 2,material 3,0.688289551,788
tool 2,step 2,material 3,0.359787374,991
tool 2,step 2,material 3,0.21757853,144
tool 2,step 2,material 2,0.713266982,200
tool 2,step 2,material 2,0.817362621,114
tool 3,step 2,material 2,0.665453112,432
tool 3,step 2,material 2,0.234020735,500
tool 3,step 2,material 3,0.901529745,60
tool 3,step 2,material 3,0.647947866,232
tool 3,step 2,material 3,0.413327385,799
tool 3,step 2,material 1,0.510226254,78
tool 3,step 2,material 2,0.368676436,155
tool 3,step 2,material 2,0.230862465,912
tool 3,step 2,material 3,0.263936235,200
tool 3,step 2,material 3,0.765056471,949
